"L1","L2","L3","L4a","L4b","L5","impact_category","q025","q25","q50","q75","q975"
0,1,1,1,0,0,"resource use/enrg/mj",8998351240924.99,9366662619904.69,9624732451787.21,9799406738306.26,10232992586529.3
0,1,1,1,0,0,"resource use/land/m2*yr",3039094289364.54,3115252704402.12,3172705600672.99,3209878060714,3275978341392.81
0,1,1,1,0,0,"resource use/mine/kg",120620977818.531,124678068238.539,127212633808.335,128896170512.726,133604969651.165
0,1,1,1,0,0,"resource use/nren/mj",7720695131734.81,8059652849769.7,8303037498321.62,8460491880874.75,8842164936771.22
0,1,1,1,0,0,"resource use/ren/mj",1266863827253.53,1301181405388.99,1318134862715.98,1340000875457.11,1376840205243.79
0,1,1,1,0,0,"resource use/watr/m3",115958601753.165,117663199898.238,118434175823.792,119421617327.202,121570515145.517
0,1,1,1,0,1,"chemical releases/haps/kg",131908211.981503,137474562.493239,139811741.859319,142736929.119892,148586570.863913
0,1,1,1,0,1,"chemical releases/metl/kg",1145107.53671844,1202185.6192036,1233207.59382784,1251315.40203175,1304780.39054584
0,1,1,1,0,1,"chemical releases/pest/kg",63584815.0725692,65799122.5203926,66777616.9680073,67819215.9223435,69334670.4041626
0,1,1,1,0,1,"economic & social/jobs/jobs",22706166.6103632,23468709.2440447,23816517.7722038,24168067.122988,24684843.0948104
0,1,1,1,0,1,"economic & social/vadd/$",1504888692768.43,1575621364278.37,1607091449387.25,1638782649402.17,1725212183591.5
0,1,1,1,0,1,"impact potential/acid/kg so2 eq",5292209599.25582,5437455703.44334,5531760754.33546,5614305736.7337,5768627111.86468
0,1,1,1,0,1,"impact potential/etox/ctue",1989245346309.19,2064724186819.18,2096292587741.78,2126239821152.47,2169191645069.68
0,1,1,1,0,1,"impact potential/eutr/kg n eq",2345762475.62705,2415532694.37344,2453362962.47717,2485881997.19061,2558756547.48334
0,1,1,1,0,1,"impact potential/gcc/kg co2 eq",891034813076.337,914585561420.688,925381027677.966,938617892766.809,966680827397.916
0,1,1,1,0,1,"impact potential/hc/ctuh",155.962415914998,161.365610632889,164.481244850069,166.737319545537,171.961794130968
0,1,1,1,0,1,"impact potential/hnc/ctuh",815.503336816214,849.446541395746,861.870875325068,872.401865743316,904.681985234316
0,1,1,1,0,1,"impact potential/hrsp/kg pm2.5 eq",1010895732.41195,1038083146.65157,1054490005.32526,1066447584.66424,1100554690.70744
0,1,1,1,0,1,"impact potential/htox/ctuh",972.150265183837,1011.18494534734,1025.79958701039,1038.89725643956,1076.63544988317
0,1,1,1,0,1,"impact potential/ozon/kg cfc11 eq",278627.269948722,287081.18976257,291906.142396133,295875.641095066,304424.085538513
0,1,1,1,0,1,"impact potential/smog/kg o3 eq",35529898370.8435,36753516106.6011,37414662310.2731,38113249056.8479,39136792799.076
0,1,1,1,0,1,"resource use/enrg/mj",8668840042584.05,9031494404721.35,9296529906264.42,9450504646086.16,9925409661963.85
0,1,1,1,0,1,"resource use/land/m2*yr",2773678436271.98,2900026934967.77,2987919078701.4,3056030437951.63,3163132352614.4
0,1,1,1,0,1,"resource use/mine/kg",114256061167.803,118286711490.078,120912237859.087,122629030346.438,127899958861.038
0,1,1,1,0,1,"resource use/nren/mj",7435668437773.06,7772825910253.41,8024587537969.11,8160841168967.13,8587687577843.89
0,1,1,1,0,1,"resource use/ren/mj",1223935078162.15,1254129530377.79,1272918411306.26,1295502775808.83,1335572765184.52
0,1,1,1,0,1,"resource use/watr/m3",104909662602.746,107983605451.46,109259317887.384,110553077391.845,113412882626.647
0,1,1,1,1,0,"chemical releases/haps/kg",138123049.02825,143625401.672237,145765243.748562,148916586.951707,154114816.157722
0,1,1,1,1,0,"chemical releases/metl/kg",1265858.09286334,1305083.056816,1338534.98073271,1362033.78470043,1410273.93032334
0,1,1,1,1,0,"chemical releases/pest/kg",74501927.6800347,75614428.1612936,76012994.5631628,76471679.8027699,77510456.2108207
0,1,1,1,1,0,"economic & social/jobs/jobs",23319499.1199998,24025997.7689656,24383040.2136307,24701238.3044102,25204387.7539666
0,1,1,1,1,0,"economic & social/vadd/$",1557342518068.05,1622448662008.89,1655201556224.12,1690067123375.75,1768268880322.19
0,1,1,1,1,0,"impact potential/acid/kg so2 eq",5671058531.97421,5778368754.9574,5841029533.22119,5894900471.26056,6000650289.4672
0,1,1,1,1,0,"impact potential/etox/ctue",2323971058812.78,2358409713756.69,2374622413340.24,2387608215905.04,2422282486770.38
0,1,1,1,1,0,"impact potential/eutr/kg n eq",2549960264.36643,2597303802.61618,2624942051.35942,2646749358.29035,2699353027.69216
0,1,1,1,1,0,"impact potential/gcc/kg co2 eq",937334238864.607,959587697157.757,968089642293.152,979647494725.006,1000525169464.97
0,1,1,1,1,0,"impact potential/hc/ctuh",164.401131585612,169.645561436153,172.153610378199,174.394838440715,179.158840224281
0,1,1,1,1,0,"impact potential/hnc/ctuh",881.283040021786,908.735746232836,922.935385075017,934.682339571871,956.808866069094
0,1,1,1,1,0,"impact potential/hrsp/kg pm2.5 eq",1097991377.69855,1114525102.73815,1126493076.92287,1134986557.96765,1158167172.55545
0,1,1,1,1,0,"impact potential/htox/ctuh",1045.68493679253,1078.75234894124,1095.10302239762,1109.1833059447,1135.73654736799
0,1,1,1,1,0,"impact potential/ozon/kg cfc11 eq",330189.028144533,332699.689311591,334492.351977288,336362.191980462,340417.228099131
0,1,1,1,1,0,"impact potential/smog/kg o3 eq",37362556557.04,38577619701.1737,39190321407.5956,39843005010.7308,40814689416.4426
